Model version,EM,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Shots,Source,Source link,Notes,id
RedPajama-INCITE-7B-Base,0.263,2023-05-04,,,,,Redpajama-7B,5,XGen-7B Technical Report,http://arxiv.org/abs/2309.03450,,reclqOVSaOoy7NX2U
RedPajama-INCITE-7B-Base,0.258,2023-05-04,,,,,Redpajama-7B,0,XGen-7B Technical Report,http://arxiv.org/abs/2309.03450,,recQGR1shnVCw79MB
,0.776,,,,,,Solar Pro,5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recvPdPH4F3YB9X2m
StableBeluga2,0.686,2023-07-20,Stability AI,United Kingdom,,,StableBeluga2 70B,5,Qwen Technical Report,https://arxiv.org/pdf/2309.16609,,reca4GRikJuwzhgQj
starcoder2-3b,0.366,2024-02-22,"Hugging Face,ServiceNow,NVIDIA,BigCode",United States of America,5.94e+22,estimation is given in Table 6 ,StarCoder2-3B,,Qwen2.5-Coder Technical Report,http://arxiv.org/abs/2409.12186,,rec7SmDXXVMzS12UD
starcoder2-7b,0.388,2024-02-20,"Hugging Face,ServiceNow,NVIDIA,BigCode",United States of America,1.55e+23,estimation is given in Table 6 ,StarCoder2-7B,,Qwen2.5-Coder Technical Report,http://arxiv.org/abs/2409.12186,,recbF6EudRQDiZM0w
starcoder2-15b,0.641,2024-02-20,"Hugging Face,ServiceNow,NVIDIA,BigCode",United States of America,3.87e+23,estimation is given in Table 6 ,StarCoder2-15B,,Qwen2.5-Coder Technical Report,http://arxiv.org/abs/2409.12186,,recslUwoLlToAjB27
,0.52,,,,,,Vicuna-13B,5,Baichuan 2: Open Large-scale Language Models,http://arxiv.org/abs/2309.10305,,recjDwTuCMcGYnymQ
xgen-7b-8k-base,0.363,2023-06-27,Salesforce,United States of America,8.02e+22,"270,336 TPUv4-hours per the carbon emissions section. They must mean chip-hours, not core-hours, because they multiply by 192W, which is the max power consumption of a TPU-v4 chip.

https://cloud.google.com/tpu/docs/system-architecture-tpu-vm#tpu_v4

This is probably the total for the whole paper? They released two versions of the base model, one of which is just trained further than the other, and they have two fine-tuned versions. If fine-tuning compute is minor, then this total is close to the largest training compute for any single model in the paper. 

270336 * 275 teraflop/s * 3600 * 0.3 = 8.02e22 FLOP

also, using 6ND:

1484 billion tokens * 6.7 billion * 6 = 5.97e22",XGen-7B,5,XGen-7B Technical Report,http://arxiv.org/abs/2309.03450,,recmtaX4LELTcHv2G
xgen-7b-8k-base,0.321,2023-06-27,Salesforce,United States of America,8.02e+22,"270,336 TPUv4-hours per the carbon emissions section. They must mean chip-hours, not core-hours, because they multiply by 192W, which is the max power consumption of a TPU-v4 chip.

https://cloud.google.com/tpu/docs/system-architecture-tpu-vm#tpu_v4

This is probably the total for the whole paper? They released two versions of the base model, one of which is just trained further than the other, and they have two fine-tuned versions. If fine-tuning compute is minor, then this total is close to the largest training compute for any single model in the paper. 

270336 * 275 teraflop/s * 3600 * 0.3 = 8.02e22 FLOP

also, using 6ND:

1484 billion tokens * 6.7 billion * 6 = 5.97e22",XGen-7B,0,XGen-7B Technical Report,http://arxiv.org/abs/2309.03450,,recNXliE4Qvt56aRx
,0.5521,,,,,,XVERSE-13B,5,Baichuan 2: Open Large-scale Language Models,http://arxiv.org/abs/2309.10305,,rec3RbWkc7eNqnBO3
Yi-6B,0.64,2023-11-02,01.AI,China,1.26e+23,6*7*10^9*3*10^12 = 1.26e+23,Yi (6B),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recQDuDGOq1wY5Ouj
Yi-34B,0.762,2023-11-02,01.AI,China,6.1e+23,"""The dataset we use contains Chinese & English only. We used approximately 3T tokens"" sounds like this means it was trained on 3T tokens, not necessarily that the dataset contains 3T tokens?

If so, 34b * 3T * 6 = 6.1e23",Yi (34B),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recjx70KTlRekGQ02
Yi-6B,0.632,2023-11-02,01.AI,China,1.26e+23,6*7*10^9*3*10^12 = 1.26e+23,Yi 6B,5,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,"We report the overall results for MMLU[27](5-shot), CMMLU[42] (5-shot), Gaokao-Bench[90] (5-shot), and BigBench[72] Hard (BBH[74]) (3-shot).",recGm5EDNDIETSYi6
Yi-34B,0.763,2023-11-02,01.AI,China,6.1e+23,"""The dataset we use contains Chinese & English only. We used approximately 3T tokens"" sounds like this means it was trained on 3T tokens, not necessarily that the dataset contains 3T tokens?

If so, 34b * 3T * 6 = 6.1e23",Yi 34B,5,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,"We report the overall results for MMLU[27](5-shot), CMMLU[42] (5-shot), Gaokao-Bench[90] (5-shot), and BigBench[72] Hard (BBH[74]) (3-shot).",recwCEStuvtsY9T89
Yi-large,0.793,2024-05-13,01.AI,China,1.8e+24,"6ND = 6*100000000000*3000000000000=1.8e+24

(speculative confidence because training dataset size is very uncertain)",Yi Large (Preview),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recbChoe3AEIXUMHg
Yi-9B,0.684,2024-03-01,,,,,Yi-9B,5,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,,recrn20mUuMopGxXJ
Yi-6B-Chat,0.582,2023-11-22,01.AI,China,1.26e+23,6*7*10^9*3*10^12 = 1.26e+23,Yi-Chat 6B,0,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,,recS1feH5g4KJrpW8
Yi-6B-Chat,0.61,2023-11-22,01.AI,China,1.26e+23,6*7*10^9*3*10^12 = 1.26e+23,Yi-Chat 6B,5,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,,receVD87dnzgVzRts
Yi-34B-Chat,0.676,2023-11-22,01.AI,China,6.1e+23,"""The dataset we use contains Chinese & English only. We used approximately 3T tokens"" sounds like this means it was trained on 3T tokens, not necessarily that the dataset contains 3T tokens?

If so, 34b * 3T * 6 = 6.1e23",Yi-Chat 34B,0,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,,recswVGACIIFbdPtu
Yi-34B-Chat,0.735,2023-11-22,01.AI,China,6.1e+23,"""The dataset we use contains Chinese & English only. We used approximately 3T tokens"" sounds like this means it was trained on 3T tokens, not necessarily that the dataset contains 3T tokens?

If so, 34b * 3T * 6 = 6.1e23",Yi-Chat 34B,5,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,,reckSm2dCL3rMGbBd
